edge2,edge1,id,Year
34718,58753,58753,2010
36649,58753,58753,2010
34003,58753,58753,2010
36816,58753,58753,2010
53295,58767,58767,2009
62406,58767,58767,2009
4178,58767,58767,2009
53760,58767,58767,2009
3770,58767,58767,2009
4167,58767,58767,2009
3683,58767,58767,2009
55681,58767,58767,2009
53965,58767,58767,2009
17281,58768,58768,2009
3476,58768,58768,2009
3509,58768,58768,2009
3916,58768,58768,2009
53760,58768,58768,2009
20893,58768,58768,2009
21349,58768,58768,2009
22341,58768,58768,2009
53965,58768,58768,2009
22511,58769,58769,2009
4178,58769,58769,2009
53134,58769,58769,2009
53760,58769,58769,2009
21101,58769,58769,2009
22387,58769,58769,2009
3767,58769,58769,2009
52996,58769,58769,2009
55622,58769,58769,2009
3466,58769,58769,2009
3683,58769,58769,2009
20934,58769,58769,2009
22332,58769,58769,2009
53810,58769,58769,2009
20071,58769,58769,2009
22341,58769,58769,2009
22763,58769,58769,2009
3400,58769,58769,2009
53965,58769,58769,2009
4079,58772,58772,2009
53157,58772,58772,2009
44311,58772,58772,2009
22320,58772,58772,2009
53837,58772,58772,2009
55422,58772,58772,2009
3691,58789,58789,2009
22409,58789,58789,2009
58879,58789,58789,2009
3922,58789,58789,2009
56121,58789,58789,2009
53964,58789,58789,2009
3790,58789,58789,2009
3721,58789,58789,2009
55470,58789,58789,2009
53100,58789,58789,2009
3484,58789,58789,2009
56120,58789,58789,2009
53493,58798,58798,2009
45961,58798,58798,2009
42817,58798,58798,2009
53610,58798,58798,2009
58448,58798,58798,2009
53425,58798,58798,2009
53326,58798,58798,2009
53769,58798,58798,2009
56070,58798,58798,2009
47922,58798,58798,2009
67831,58798,58798,2009
53375,58800,58800,2009
3937,58800,58800,2009
4227,58800,58800,2009
37974,58800,58800,2009
56098,58800,58800,2009
3964,58800,58800,2009
53374,58806,58806,2009
60776,58806,58806,2009
58558,58806,58806,2009
53264,58806,58806,2009
22312,58806,58806,2009
55388,58806,58806,2009
33994,58806,58806,2009
62300,58806,58806,2009
22302,58806,58806,2009
4016,58806,58806,2009
53200,58820,58820,2008
56223,58820,58820,2008
56161,58820,58820,2008
53233,58868,58868,2007
53341,58868,58868,2007
53134,58868,58868,2007
22728,58868,58868,2007
3578,58868,58868,2007
22768,58868,58868,2007
60727,58868,58868,2007
22455,58868,58868,2007
53363,58868,58868,2007
22798,58868,58868,2007
53308,58868,58868,2007
58397,58868,58868,2007
53662,58868,58868,2007
22686,58868,58868,2007
53467,58868,58868,2007
58438,58868,58868,2007
22627,58868,58868,2007
3959,58879,58879,2007
62342,58879,58879,2007
3922,58879,58879,2007
4181,58879,58879,2007
56121,58879,58879,2007
3790,58879,58879,2007
3923,58879,58879,2007
50176,58879,58879,2007
3567,58879,58879,2007
55992,58879,58879,2007
56120,58879,58879,2007
56061,58881,58881,2007
36649,58881,58881,2007
45820,58881,58881,2007
53332,58881,58881,2007
21292,58881,58881,2007
53635,58881,58881,2007
68128,58893,58893,2016
44837,58893,58893,2016
4182,58893,58893,2016
3908,58893,58893,2016
53621,58893,58893,2016
3960,58893,58893,2016
53807,58893,58893,2016
4221,58893,58893,2016
2999,58893,58893,2016
56102,58893,58893,2016
52230,58893,58893,2016
4178,58920,58920,2016
53760,58920,58920,2016
3441,58920,58920,2016
21903,58920,58920,2016
22072,58920,58920,2016
52634,58920,58920,2016
3639,58920,58920,2016
2373,58920,58920,2016
3190,58920,58920,2016
53965,58920,58920,2016
69294,58937,58937,2016
43807,58937,58937,2016
66164,58937,58937,2016
3635,58937,58937,2016
60780,58937,58937,2016
3048,58937,58937,2016
36649,58937,58937,2016
60662,58937,58937,2016
69925,58937,58937,2016
45033,58937,58937,2016
3960,58937,58937,2016
45345,58937,58937,2016
43583,58937,58937,2016
58583,58937,58937,2016
